label,svg
247,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><path d=""M80,80 L80,200 C80,220 100,240 120,240 L136,240 C156,240 176,220 176,200 L176,80"" fill=""olive"" stroke=""black"" stroke-width=""2""/><rect x=""90"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""136"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><circle cx=""95"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""115"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""141"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""161"" cy=""110"" r=""3"" fill=""gold""/><rect x=""85"" y=""70"" width=""86"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""85"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""161"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/></svg>"
248,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><path d=""M80,80 L80,200 C80,220 100,240 120,240 L136,240 C156,240 176,220 176,200 L176,80"" fill=""olive"" stroke=""black"" stroke-width=""2""/><rect x=""90"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""136"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><circle cx=""95"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""115"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""141"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""161"" cy=""110"" r=""3"" fill=""gold""/><rect x=""85"" y=""70"" width=""86"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""85"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""161"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/></svg>"
249,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><path d=""M80,80 L80,200 C80,220 100,240 120,240 L136,240 C156,240 176,220 176,200 L176,80"" fill=""olive"" stroke=""black"" stroke-width=""2""/><rect x=""90"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""136"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><circle cx=""95"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""115"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""141"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""161"" cy=""110"" r=""3"" fill=""gold""/><rect x=""85"" y=""70"" width=""86"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""85"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""161"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/></svg>"
250,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><path d=""M80,80 L80,200 C80,220 100,240 120,240 L136,240 C156,240 176,220 176,200 L176,80"" fill=""olive"" stroke=""black"" stroke-width=""2""/><rect x=""90"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""136"" y=""100"" width=""30"" height=""40"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><circle cx=""95"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""115"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""141"" cy=""110"" r=""3"" fill=""gold""/><circle cx=""161"" cy=""110"" r=""3"" fill=""gold""/><rect x=""85"" y=""70"" width=""86"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""85"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/><rect x=""161"" y=""70"" width=""10"" height=""10"" fill=""darkolivegreen"" stroke=""black"" stroke-width=""1""/></svg>"
251,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><polygon id=""hexagon"" points=""50,0 100,0 125,43.3 100,86.6 50,86.6 25,43.3""/></defs><g transform=""translate(0, 0)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 43.3)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""turquoise""/></g><g transform=""translate(0, 86.6)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 129.9)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""turquoise""/></g></svg>"
252,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><polygon id=""hexagon"" points=""50,0 100,0 125,43.3 100,86.6 50,86.6 25,43.3""/></defs><g transform=""translate(0, 0)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 43.3)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""turquoise""/></g><g transform=""translate(0, 86.6)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""amber""/></g><g transform=""translate(37.5, 129.9)""><use href=""#hexagon"" x=""0"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""75"" y=""0"" fill=""turquoise""/><use href=""#hexagon"" x=""150"" y=""0"" fill=""amber""/><use href=""#hexagon"" x=""225"" y=""0"" fill=""turquoise""/></g></svg>"
253,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""80"" width=""156"" height=""40"" fill=""midnightblue""/><polyline points=""50,80 206,80 206,120 50,120 50,80"" fill=""none"" stroke=""silver"" stroke-width=""4""/><polyline points=""50,80 50,120"" fill=""none"" stroke=""silver"" stroke-width=""4""/><polyline points=""206,80 206,120"" fill=""none"" stroke=""silver"" stroke-width=""4""/></svg>"
254,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""80"" width=""156"" height=""40"" fill=""midnightblue""/><polyline points=""50,80 206,80 206,120 50,120 50,80"" fill=""none"" stroke=""silver"" stroke-width=""4""/><polyline points=""50,80 50,120"" fill=""none"" stroke=""silver"" stroke-width=""4""/><polyline points=""206,80 206,120"" fill=""none"" stroke=""silver"" stroke-width=""4""/></svg>"
255,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""ribbonGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""0%""><stop offset=""0%""/><stop offset=""100%""/></linearGradient></defs><g transform=""translate(0, 50)""><path d=""M10,50 C30,30 70,30 90,50 S150,70 170,50"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,90 C30,70 70,70 90,90 S150,110 170,90"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,130 C30,110 70,110 90,130 S150,150 170,130"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,170 C30,150 70,150 90,170 S150,190 170,170"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,210 C30,190 70,190 90,210 S150,230 170,210"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/></g></svg>"
256,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""ribbonGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""0%""><stop offset=""0%""/><stop offset=""100%""/></linearGradient></defs><g transform=""translate(0, 50)""><path d=""M10,50 C30,30 70,30 90,50 S150,70 170,50"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,90 C30,70 70,70 90,90 S150,110 170,90"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,130 C30,110 70,110 90,130 S150,150 170,130"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,170 C30,150 70,150 90,170 S150,190 170,170"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/><path d=""M10,210 C30,190 70,190 90,210 S150,230 170,210"" fill=""none"" stroke=""url(#ribbonGradient)"" stroke-width=""10""/></g></svg>"
257,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#B0E0E6""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#E6E6FA""/><g fill=""#9370DB""><circle cx=""20"" cy=""140"" r=""5""/><circle cx=""50"" cy=""160"" r=""5""/><circle cx=""80"" cy=""140"" r=""5""/><circle cx=""110"" cy=""160"" r=""5""/><circle cx=""140"" cy=""140"" r=""5""/><circle cx=""170"" cy=""160"" r=""5""/><circle cx=""200"" cy=""140"" r=""5""/><circle cx=""230"" cy=""160"" r=""5""/><circle cx=""40"" cy=""180"" r=""5""/><circle cx=""70"" cy=""200"" r=""5""/><circle cx=""100"" cy=""180"" r=""5""/><circle cx=""130"" cy=""200"" r=""5""/><circle cx=""160"" cy=""180"" r=""5""/><circle cx=""190"" cy=""200"" r=""5""/><circle cx=""220"" cy=""180"" r=""5""/></g></svg>"
258,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#B0E0E6""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#E6E6FA""/><g fill=""#9370DB""><circle cx=""20"" cy=""140"" r=""5""/><circle cx=""50"" cy=""160"" r=""5""/><circle cx=""80"" cy=""140"" r=""5""/><circle cx=""110"" cy=""160"" r=""5""/><circle cx=""140"" cy=""140"" r=""5""/><circle cx=""170"" cy=""160"" r=""5""/><circle cx=""200"" cy=""140"" r=""5""/><circle cx=""230"" cy=""160"" r=""5""/><circle cx=""40"" cy=""180"" r=""5""/><circle cx=""70"" cy=""200"" r=""5""/><circle cx=""100"" cy=""180"" r=""5""/><circle cx=""130"" cy=""200"" r=""5""/><circle cx=""160"" cy=""180"" r=""5""/><circle cx=""190"" cy=""200"" r=""5""/><circle cx=""220"" cy=""180"" r=""5""/></g></svg>"
259,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""mist"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""#a8c0ff"" stop-opacity=""0.8""/><stop offset=""100%"" stop-color=""#3f2b96"" stop-opacity=""0.8""/></linearGradient></defs><rect width=""256"" height=""256"" fill=""url(#mist)""/><rect x=""50"" y=""100"" width=""10"" height=""100"" fill=""#654321""/><rect x=""150"" y=""80"" width=""10"" height=""120"" fill=""#654321""/><rect x=""200"" y=""90"" width=""10"" height=""110"" fill=""#654321""/><circle cx=""55"" cy=""100"" r=""30"" fill=""#228B22""/><circle cx=""155"" cy=""80"" r=""35"" fill=""#228B22""/><circle cx=""205"" cy=""90"" r=""25"" fill=""#228B22""/><line x1=""128"" y1=""0"" x2=""128"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" stroke-opacity=""0.5""/><line x1=""64"" y1=""0"" x2=""64"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" stroke-opacity=""0.5""/><line x1=""192"" y1=""0"" x2=""192"" y2=""256"" stroke=""#FFD700"" stroke-width=""2"" stroke-opacity=""0.5""/></svg>"
260,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#f0f0f0""/><rect x=""50"" y=""50"" width=""156"" height=""156"" fill=""#8B0000"" stroke=""#000"" stroke-width=""2""/><polygon points=""50,50 128,100 206,50"" fill=""#4B0082"" stroke=""#000"" stroke-width=""2""/><polygon points=""50,206 128,156 206,206"" fill=""#4B0082"" stroke=""#000"" stroke-width=""2""/><circle cx=""128"" cy=""100"" r=""5"" fill=""#000""/><circle cx=""128"" cy=""156"" r=""5"" fill=""#000""/></svg>"
261,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#808080""/><rect x=""10"" y=""10"" width=""236"" height=""236"" fill=""#A9A9A9"" stroke=""#707070"" stroke-width=""2""/><rect x=""20"" y=""20"" width=""216"" height=""216"" fill=""#B0B0B0"" stroke=""#707070"" stroke-width=""2""/><rect x=""30"" y=""30"" width=""196"" height=""196"" fill=""#C0C0C0"" stroke=""#707070"" stroke-width=""2""/><g transform=""rotate(-10 128 128)""><path d=""M50,100 C50,150 100,200 150,200"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M60,110 C60,160 110,210 160,210"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M70,120 C70,170 120,220 170,220"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M80,130 C80,180 130,230 180,230"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M90,140 C90,190 140,240 190,240"" stroke=""#008000"" stroke-width=""10"" fill=""none""/></g><g transform=""rotate(-10 128 128)""><ellipse cx=""150"" cy=""200"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 150 200)""/><ellipse cx=""160"" cy=""210"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 160 210)""/><ellipse cx=""170"" cy=""220"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 170 220)""/><ellipse cx=""180"" cy=""230"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 180 230)""/><ellipse cx=""190"" cy=""240"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 190 240)""/></g></svg>"
262,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#808080""/><rect x=""10"" y=""10"" width=""236"" height=""236"" fill=""#A9A9A9"" stroke=""#707070"" stroke-width=""2""/><rect x=""20"" y=""20"" width=""216"" height=""216"" fill=""#B0B0B0"" stroke=""#707070"" stroke-width=""2""/><rect x=""30"" y=""30"" width=""196"" height=""196"" fill=""#C0C0C0"" stroke=""#707070"" stroke-width=""2""/><g transform=""rotate(-10 128 128)""><path d=""M50,100 C50,150 100,200 150,200"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M60,110 C60,160 110,210 160,210"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M70,120 C70,170 120,220 170,220"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M80,130 C80,180 130,230 180,230"" stroke=""#008000"" stroke-width=""10"" fill=""none""/><path d=""M90,140 C90,190 140,240 190,240"" stroke=""#008000"" stroke-width=""10"" fill=""none""/></g><g transform=""rotate(-10 128 128)""><ellipse cx=""150"" cy=""200"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 150 200)""/><ellipse cx=""160"" cy=""210"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 160 210)""/><ellipse cx=""170"" cy=""220"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 170 220)""/><ellipse cx=""180"" cy=""230"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 180 230)""/><ellipse cx=""190"" cy=""240"" rx=""10"" ry=""20"" fill=""#006400"" transform=""rotate(45 190 240)""/></g></svg>"
263,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#007BA7""/><g fill=""#FFFFFF""><ellipse cx=""60"" cy=""80"" rx=""40"" ry=""30""/><ellipse cx=""90"" cy=""80"" rx=""40"" ry=""30""/><ellipse cx=""75"" cy=""60"" rx=""40"" ry=""30""/><ellipse cx=""180"" cy=""120"" rx=""40"" ry=""30""/><ellipse cx=""210"" cy=""120"" rx=""40"" ry=""30""/><ellipse cx=""195"" cy=""100"" rx=""40"" ry=""30""/><ellipse cx=""120"" cy=""160"" rx=""40"" ry=""30""/><ellipse cx=""150"" cy=""160"" rx=""40"" ry=""30""/><ellipse cx=""135"" cy=""140"" rx=""40"" ry=""30""/></g></svg>"
264,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#007BA7""/><g fill=""#FFFFFF""><ellipse cx=""60"" cy=""80"" rx=""40"" ry=""30""/><ellipse cx=""90"" cy=""80"" rx=""40"" ry=""30""/><ellipse cx=""75"" cy=""60"" rx=""40"" ry=""30""/><ellipse cx=""180"" cy=""120"" rx=""40"" ry=""30""/><ellipse cx=""210"" cy=""120"" rx=""40"" ry=""30""/><ellipse cx=""195"" cy=""100"" rx=""40"" ry=""30""/><ellipse cx=""120"" cy=""160"" rx=""40"" ry=""30""/><ellipse cx=""150"" cy=""160"" rx=""40"" ry=""30""/><ellipse cx=""135"" cy=""140"" rx=""40"" ry=""30""/></g></svg>"
265,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><ellipse cx=""128"" cy=""200"" rx=""40"" ry=""60"" fill=""#0047AB""/><rect x=""88"" y=""140"" width=""80"" height=""60"" fill=""#0047AB""/><circle cx=""100"" cy=""120"" r=""20"" fill=""#FFD700""/><circle cx=""156"" cy=""120"" r=""20"" fill=""#FFD700""/><circle cx=""128"" cy=""100"" r=""20"" fill=""#FFD700""/><line x1=""100"" y1=""120"" x2=""100"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/><line x1=""156"" y1=""120"" x2=""156"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/><line x1=""128"" y1=""100"" x2=""128"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/></svg>"
266,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><ellipse cx=""128"" cy=""200"" rx=""40"" ry=""60"" fill=""#0047AB""/><rect x=""88"" y=""140"" width=""80"" height=""60"" fill=""#0047AB""/><circle cx=""100"" cy=""120"" r=""20"" fill=""#FFD700""/><circle cx=""156"" cy=""120"" r=""20"" fill=""#FFD700""/><circle cx=""128"" cy=""100"" r=""20"" fill=""#FFD700""/><line x1=""100"" y1=""120"" x2=""100"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/><line x1=""156"" y1=""120"" x2=""156"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/><line x1=""128"" y1=""100"" x2=""128"" y2=""140"" stroke=""#228B22"" stroke-width=""5""/></svg>"
267,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""50"" y=""50"" width=""156"" height=""156"" fill=""#DAA520"" stroke=""#000"" stroke-width=""2""/><rect x=""70"" y=""30"" width=""40"" height=""20"" fill=""#DAA520"" stroke=""#000"" stroke-width=""2""/><rect x=""146"" y=""30"" width=""40"" height=""20"" fill=""#DAA520"" stroke=""#000"" stroke-width=""2""/><rect x=""80"" y=""120"" width=""40"" height=""40"" fill=""#DAA520"" stroke=""#000"" stroke-width=""2""/><rect x=""136"" y=""120"" width=""40"" height=""40"" fill=""#DAA520"" stroke=""#000"" stroke-width=""2""/><circle cx=""90"" cy=""60"" r=""5"" fill=""#000""/><circle cx=""166"" cy=""60"" r=""5"" fill=""#000""/></svg>"
268,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><radialGradient id=""silverGradient"" cx=""50%"" cy=""50%"" r=""50%"" fx=""50%"" fy=""50%""><stop offset=""0%"" stop-color=""#C0C0C0"" stop-opacity=""1""/><stop offset=""100%"" stop-color=""#A0A0A0"" stop-opacity=""1""/></radialGradient></defs><g transform=""translate(50, 50)""><circle cx=""30"" cy=""30"" r=""20"" fill=""url(#silverGradient)""/><circle cx=""80"" cy=""50"" r=""15"" fill=""url(#silverGradient)""/><circle cx=""120"" cy=""30"" r=""25"" fill=""url(#silverGradient)""/><circle cx=""50"" cy=""100"" r=""18"" fill=""url(#silverGradient)""/><circle cx=""100"" cy=""90"" r=""22"" fill=""url(#silverGradient)""/><circle cx=""150"" cy=""110"" r=""20"" fill=""url(#silverGradient)""/></g></svg>"
269,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""#FFD700""/><rect x=""50"" y=""100"" width=""156"" height=""156"" fill=""#FFE87C""/><g fill=""none"" stroke=""#0047AB"" stroke-width=""10""><path d=""M50 100 Q75 50 100 100""/><path d=""M50 150 Q75 100 100 150""/><path d=""M50 200 Q75 150 100 200""/><path d=""M156 100 Q131 50 106 100""/><path d=""M156 150 Q131 100 106 150""/><path d=""M156 200 Q131 150 106 200""/><path d=""M100 100 Q128 50 156 100""/><path d=""M100 200 Q128 150 156 200""/></g></svg>"
270,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""120"" fill=""none"" stroke=""#A0A0A0"" stroke-width=""10"" opacity=""0.8""/><g transform=""translate(128, 128)""><circle cx=""-50"" cy=""-50"" r=""20"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""30"" cy=""-30"" r=""15"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""-20"" cy=""40"" r=""18"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""40"" cy=""20"" r=""12"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""-10"" cy=""-10"" r=""10"" fill=""#FFBF00"" opacity=""0.9""/></g></svg>"
271,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><circle cx=""128"" cy=""128"" r=""120"" fill=""none"" stroke=""#A0A0A0"" stroke-width=""10"" opacity=""0.8""/><g transform=""translate(128, 128)""><circle cx=""-50"" cy=""-50"" r=""20"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""30"" cy=""-30"" r=""15"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""-20"" cy=""40"" r=""18"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""40"" cy=""20"" r=""12"" fill=""#FFBF00"" opacity=""0.9""/><circle cx=""-10"" cy=""-10"" r=""10"" fill=""#FFBF00"" opacity=""0.9""/></g></svg>"
272,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""magenta""/><stop offset=""100%"" stop-color=""indigo""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""url(#skyGradient)""/><polyline points=""0,50 256,30 0,100 256,80 0,150 256,130 0,200 256,180"" stroke=""white"" stroke-width=""2"" opacity=""0.5""/></svg>"
273,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><defs><linearGradient id=""skyGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1""><stop offset=""0%"" stop-color=""magenta""/><stop offset=""100%"" stop-color=""indigo""/></linearGradient></defs><rect x=""0"" y=""0"" width=""256"" height=""256"" fill=""url(#skyGradient)""/><polyline points=""0,50 256,30 0,100 256,80 0,150 256,130 0,200 256,180"" stroke=""white"" stroke-width=""2"" opacity=""0.5""/></svg>"
274,
275,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""80"" y=""50"" width=""96"" height=""150"" fill=""#4A235A"" stroke=""#4A235A"" stroke-width=""2""/><path d=""M80,50 Q60,70 80,90"" fill=""#4A235A"" stroke=""#4A235A"" stroke-width=""2""/><path d=""M176,50 Q196,70 176,90"" fill=""#4A235A"" stroke=""#4A235A"" stroke-width=""2""/><ellipse cx=""70"" cy=""100"" rx=""10"" ry=""5"" fill=""#4A235A"" stroke=""#4A235A"" stroke-width=""2""/><ellipse cx=""186"" cy=""100"" rx=""10"" ry=""5"" fill=""#4A235A"" stroke=""#4A235A"" stroke-width=""2""/><path d=""M100,50 Q128,70 156,50"" fill=""none"" stroke=""#4A235A"" stroke-width=""2""/></svg>"
276,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect width=""256"" height=""256"" fill=""#E6E6FA""/><g fill=""#C0C0C0""><circle cx=""50"" cy=""60"" r=""5""/><circle cx=""120"" cy=""90"" r=""5""/><circle cx=""80"" cy=""150"" r=""5""/><circle cx=""200"" cy=""70"" r=""5""/><circle cx=""160"" cy=""120"" r=""5""/><circle cx=""100"" cy=""200"" r=""5""/><circle cx=""220"" cy=""180"" r=""5""/><circle cx=""30"" cy=""220"" r=""5""/><circle cx=""180"" cy=""40"" r=""5""/><circle cx=""140"" cy=""170"" r=""5""/></g></svg>"
277,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#87CEEB""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#4682B4""/><polygon points=""50,128 70,80 90,128"" fill=""#2E8B57""/><polygon points=""100,128 120,60 140,128"" fill=""#2E8B57""/><polygon points=""150,128 170,90 190,128"" fill=""#2E8B57""/><polygon points=""50,128 70,176 90,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""100,128 120,196 140,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""150,128 170,166 190,128"" fill=""#2E8B57"" opacity=""0.5""/></svg>"
278,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#87CEEB""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#4682B4""/><polygon points=""50,128 70,80 90,128"" fill=""#2E8B57""/><polygon points=""100,128 120,60 140,128"" fill=""#2E8B57""/><polygon points=""150,128 170,90 190,128"" fill=""#2E8B57""/><polygon points=""50,128 70,176 90,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""100,128 120,196 140,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""150,128 170,166 190,128"" fill=""#2E8B57"" opacity=""0.5""/></svg>"
279,"<svg viewBox=""0 0 256 256"" width=""256"" height=""256""><rect x=""0"" y=""0"" width=""256"" height=""128"" fill=""#87CEEB""/><rect x=""0"" y=""128"" width=""256"" height=""128"" fill=""#4682B4""/><polygon points=""50,128 70,80 90,128"" fill=""#2E8B57""/><polygon points=""100,128 120,60 140,128"" fill=""#2E8B57""/><polygon points=""150,128 170,90 190,128"" fill=""#2E8B57""/><polygon points=""50,128 70,176 90,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""100,128 120,196 140,128"" fill=""#2E8B57"" opacity=""0.5""/><polygon points=""150,128 170,166 190,128"" fill=""#2E8B57"" opacity=""0.5""/></svg>"
